pid,chords,event_type,value,start_time,time_passed,wpm
2,FALSE,key_pressed,16777248,1464638235.31087,0,0
2,FALSE,key_pressed,69,1464638235.56835,0,0
2,FALSE,key_pressed,73,1464638235.66965,0,33.4442888089
2,FALSE,key_pressed,78,1464638235.85439,0,44.1542092067
2,FALSE,key_pressed,16777219,1464638235.97311,0,54.3591930954
2,FALSE,key_pressed,0,1464638235.97389,0,36.1966160544
2,FALSE,word finished,EI,1464638235.56877,0.4054925442,72.3528801663
2,FALSE,key_pressed,16777248,1464638236.32698,0,47.2379186151
2,FALSE,key_pressed,83,1464638236.43846,0,42.5676673082
2,FALSE,key_pressed,77,1464638236.90282,0,37.6888597086
2,FALSE,key_pressed,65,1464638237.02974,0,41.8872485121
2,FALSE,key_pressed,82,1464638237.66989,0,35.6076757088
2,FALSE,key_pressed,84,1464638237.84571,0,37.8718265372
2,FALSE,key_pressed,80,1464638238.05394,0,39.3715731895
2,FALSE,key_pressed,72,1464638238.247,0,40.8697824829
2,FALSE,key_pressed,79,1464638238.36745,0,43.1851260142
2,FALSE,key_pressed,78,1464638238.56796,0,44.209307337
2,FALSE,key_pressed,69,1464638238.69567,0,46.0880256764
2,FALSE,key_pressed,0,1464638239.05652,0,44.8517222429
2,FALSE,word finished,Smartphone,1464638236.4388,2.6187689304,48.0419525285
2,FALSE,key_pressed,73,1464638239.13502,0,47.0689213705
2,FALSE,key_pressed,83,1464638239.23164,0,48.9696847637
2,FALSE,key_pressed,84,1464638239.32739,0,50.7899134384
2,FALSE,key_pressed,0,1464638239.47119,0,51.9188177976
2,FALSE,word finished,ist,1464638239.13518,0.3369700909,54.7905019308
2,FALSE,key_pressed,69,1464638239.53612,0,53.9610055952
2,FALSE,key_pressed,73,1464638239.60881,0,55.8403052844
2,FALSE,key_pressed,78,1464638239.76052,0,56.6333607061
2,FALSE,key_pressed,16777248,1464638239.92932,0,57.1617289032
2,FALSE,key_pressed,0,1464638239.93002,0,57.1530193263
2,FALSE,word finished,ein,1464638239.53634,0.3944547176,59.7408531507
2,FALSE,key_pressed,77,1464638239.99236,0,58.9552563511
2,FALSE,key_pressed,79,1464638240.15195,0,59.4905474579
2,FALSE,key_pressed,66,1464638240.27181,0,60.4720427905
2,FALSE,key_pressed,73,1464638240.3918,0,61.4058017381
2,FALSE,key_pressed,76,1464638240.59263,0,61.3428455394
2,FALSE,key_pressed,84,1464638241.32846,0,55.8360163319
2,FALSE,key_pressed,69,1464638241.49634,0,56.2606840709
