pid,chords,event_type,value,start_time,time_passed,wpm
4,TRUE,key_pressed,16777248,1464639691.6299,0,0
4,TRUE,key_pressed,69,1464639691.77722,0,0
4,TRUE,key_pressed,78,1464639691.86295,0,51.4881753957
4,TRUE,key_pressed,16777219,1464639692.12662,0,48.3152126021
4,TRUE,key_pressed,16777219,1464639692.12846,0,24.0686658993
4,TRUE,key_pressed,0,1464639692.12975,0,0
4,TRUE,key_pressed,0,1464639693.3592,0,20.817442016
4,TRUE,word finished,Ein,1464639692.12991,1.2301590443,27.7426440029
4,TRUE,key_pressed,16777248,1464639693.53542,0,25.189716446
4,TRUE,key_pressed,83,1464639694.67947,0,15.7398731048
4,TRUE,key_pressed,77,1464639694.69612,0,19.5679911582
4,TRUE,key_pressed,16777219,1464639694.90348,0,21.9942014934
4,TRUE,key_pressed,16777219,1464639694.90453,0,18.3226483234
4,TRUE,key_pressed,0,1464639694.90518,0,14.655184382
4,TRUE,key_pressed,0,1464639696.23237,0,36.5020583862
4,TRUE,word finished,Smartphone,1464639694.90529,1.328368187,39.0983990508
4,TRUE,key_pressed,73,1464639696.36108,0,38.0453872984
4,TRUE,key_pressed,83,1464639697.68867,0,31.6895620138
4,TRUE,key_pressed,84,1464639697.80142,0,33.0550160767
4,TRUE,key_pressed,0,1464639698.00946,0,33.8580395486
4,TRUE,word finished,ist,1464639696.36152,1.6489653587,35.7332953893
4,TRUE,key_pressed,16777248,1464639698.1145,0,35.1601672288
4,TRUE,key_pressed,69,1464639698.99371,0,30.9621664408
4,TRUE,key_pressed,78,1464639699.06555,0,32.2768704325
4,TRUE,key_pressed,16777219,1464639699.26698,0,32.9968419373
4,TRUE,key_pressed,16777219,1464639699.26854,0,31.419158742
4,TRUE,key_pressed,0,1464639699.26984,0,29.8431326889
4,TRUE,key_pressed,0,1464639700.23447,0,30.6813197872
4,TRUE,word finished,ein,1464639699.27005,0.9658098221,32.0707392088
4,TRUE,key_pressed,16777248,1464639701.43464,0,28.149615295
4,TRUE,key_pressed,77,1464639701.51567,0,27.9188865919
4,TRUE,key_pressed,79,1464639701.69085,0,28.625503552
4,TRUE,key_pressed,16777219,1464639701.91481,0,29.1689151631
4,TRUE,key_pressed,16777219,1464639701.91554,0,28.0001717154
4,TRUE,key_pressed,0,1464639701.91602,0,26.8322446363
4,TRUE,key_pressed,44,1464639703.41229,0,35.6463643538
4,TRUE,word finished,Mobiltelefon,1464639701.91609,1.4971442223,36.6618919226
